GROUP,PACKAGE,CLASS,,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_COVERAGE,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,COMPLEXITY,METHOD_MISSED,METHOD_COVERED,,Mutation Coverage,M_P
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,,38,0,2,0,0,0,0,6,1,100,0,4,4,0,3,,0,0
Apache Commons Codec,org.apache.commons.codec.cli,Digest,,279,0,32,0,0,0,0,6,1,100,0,4,4,0,3,,0,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,,35,220,3,25,0.892857143,89.2857143,0,2,1,100,0,3,3,0,2,,0.37,37
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32C,,137,8364,7,3,0.3,30,0,2,1,100,0,3,3,0,2,,0.46,46
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,,0,24,0,2,1,100,0,64,1,100,0,4,4,0,2,,0.67,67
Apache Commons Codec,org.apache.commons.codec.digest,XXHash32,,119,313,8,12,0.6,60,0,61,1,100,0,4,4,0,2,,0.67,67
Apache Commons Codec,org.apache.commons.codec.binary,CharSequenceUtils,,26,35,6,8,0.571428571,57.1428571,0,11,1,100,0,5,5,0,3,,0.73,73
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,,0,316,0,4,1,100,0,28,1,100,0,12,12,0,10,,0.75,75
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,,0,301,0,4,1,100,0,3,1,100,0,4,4,0,2,,0.75,75
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,,5,132,0,14,1,100,0,2,1,100,0,4,4,0,2,,0.77,77
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,,0,155,1,21,0.954545455,95.4545455,0,2,1,100,0,4,4,0,2,,0.77,77
Apache Commons Codec,org.apache.commons.codec.language,Soundex,,8,269,2,32,0.941176471,94.1176471,16,80,0.833333333,83.3333333,13,64,77,13,62,,0.77,77
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,,66,415,0,6,1,100,20,77,0.793814433,79.3814433,7,54,61,7,51,,0.78,78
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,,91,549,14,76,0.844444444,84.4444444,0,13,1,100,0,9,9,0,5,,0.78,78
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,,67,296,0,4,1,100,0,10,1,100,0,6,6,0,2,,0.8,80
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,,8,169,2,16,0.888888889,88.8888889,0,27,1,100,0,15,15,0,7,,0.83,83
