GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator,0.07,7,51,23,4,0,0,0,0,16,1,100,0,4,4,0,3
Apache Commons Collections,org.apache.commons.collections4.bag,TransformedSortedBag,0.11,11,44,23,4,0,0,0,0,4,1,100,0,3,3,0,2
Apache Commons Collections,org.apache.commons.collections4.multimap,ArrayListValuedHashMap,0.14,14,34,48,2,0,0,0,0,8,1,100,0,3,3,0,2
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,0.4,40,36,29,4,0,0,0,0,8,1,100,0,4,4,0,3
Apache Commons Collections,org.apache.commons.collections4.functors,ConstantTransformer,0.33,33,43,31,11,3,0.214285714,21.4285714,1,9,0.9,90,1,5,6,1,3
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeMap,0.54,54,30,71,4,2,0.333333333,33.3333333,1,7,0.875,87.5,1,4,5,1,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,0.5,50,11,36,2,2,0.5,50,0,64,1,100,0,34,34,0,25
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableMap,0.58,58,21,65,2,2,0.5,50,2,13,0.866666667,86.6666667,1,3,4,1,1
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,0.71,71,22,61,2,2,0.5,50,0,45,1,100,0,36,36,0,34
Apache Commons Collections,org.apache.commons.collections4.functors,InstanceofPredicate,0.75,75,8,18,1,1,0.5,50,0,9,1,100,0,5,5,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,0.91,91,5,49,1,1,0.5,50,0,9,1,100,0,5,5,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,1,100,5,19,1,1,0.5,50,0,11,1,100,0,5,5,0,4
