GROUP,PACKAGE,CLASS,Mutation Coverage,M_P,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,B_Coverage,B_P,LINE_MISSED,LINE_COVERED,Statement_Coverage,S_P,COMPLEXITY_MISSED,COMPLEXITY_COVERED,COMPLEXITY,METHOD_MISSED,METHOD_COVERED
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,0.08,8,429,82,11,5,0.3125,31.25,73,17,0.188888889,18.8888889,65,6,71,57,6
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem,0.17,17,450,95,59,13,0.180555556,18.0555556,108,29,0.211678832,21.1678832,40,6,46,5,5
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,0.27,27,183,68,1,1,0.5,50,27,15,0.357142857,35.7142857,28,11,39,27,11
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertySource,0.33,33,29,11,2,0,0,0,7,3,0.3,30,3,2,5,2,2
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,0.38,38,40,25,3,3,0.5,50,12,8,0.4,40,3,4,7,1,3
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,0.43,43,49,140,6,8,0.571428571,57.1428571,7,43,0.86,86,5,14,19,0,12
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,0.47,47,434,467,25,27,0.519230769,51.9230769,89,126,0.586046512,58.6046512,68,43,111,50,35
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,0.6,60,18,28,2,2,0.5,50,5,8,0.615384615,61.5384615,2,5,7,1,4
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,0.66,66,62,119,3,7,0.7,70,17,33,0.66,66,8,12,20,6,9
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,0.67,67,0,24,0,2,1,100,0,6,1,100,0,3,3,0,2
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,0.7,70,24,110,1,13,0.928571429,92.8571429,14,41,0.745454545,74.5454545,10,20,30,9,14
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,0.71,71,16,55,1,11,0.916666667,91.6666667,4,16,0.8,80,2,9,11,1,4
