GROUP,PACKAGE,CLASS,Mutation Coverage,Line Coverage,,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Text,org.apache.commons.text.lookup,AbstractStringLookup,0.5,0.75,,36,4,2,2,6,4,4,1,4
Apache Commons Text,org.apache.commons.text.similarity,SimilarityScoreFrom,0.6,0.75,,25,0,2,2,6,2,3,2,2
Apache Commons Text,org.apache.commons.text.similarity,EditDistanceFrom,0.6,0.75,,25,0,2,2,6,2,3,2,2
Apache Commons Text,org.apache.commons.text.translate,SinglePassTranslator,0.6,1,,38,1,3,0,7,1,4,0,3
Apache Commons Text,org.apache.commons.text.lookup,LocalHostStringLookup,0.63,0.56,,26,1,5,7,7,1,5,0,2
Apache Commons Text,org.apache.commons.text.lookup,MapStringLookup,0.63,0.77,,30,1,3,3,10,3,4,2,3
Apache Commons Text,org.apache.commons.text.similarity,RegexTokenizer,0.67,1,,37,0,2,0,8,0,3,0,2
Apache Commons Text,org.apache.commons.text,RandomStringGenerator.Builder,0.72,0.99,,208,3,19,0,35,3,15,0,7
Apache Commons Text,org.apache.commons.text.translate,CharSequenceTranslator,0.74,0.83,,165,2,16,6,29,3,12,1,5
Apache Commons Text,org.apache.commons.text,StrBuilder.StrBuilderWriter,0.76,0.99,,43,0,0,0,15,0,8,0,8
Apache Commons Text,org.apache.commons.text,TextStringBuilder.StrBuilderWriter,0.76,0.99,,43,0,0,0,15,0,8,0,8
Apache Commons Text,org.apache.commons.text.lookup,StringLookupFactory,0.77,0.85,,140,0,2,7,39,6,22,6,21
Apache Commons Text,org.apache.commons.text.lookup,JavaPlatformStringLookup,0.78,1,,286,0,11,0,35,0,18,0,10
Apache Commons Text,org.apache.commons.text.lookup,ConstantStringLookup,0.81,0.96,,82,2,8,1,26,2,9,0,6
Apache Commons Text,org.apache.commons.text.lookup,InterpolatorStringLookup,0.82,0.94,,129,1,15,2,32,2,14,1,7
Apache Commons Text,org.apache.commons.text,WordUtils,0.83,0.93,,726,12,110,13,181,8,71,2,16
Apache Commons Text,org.apache.commons.text.translate,LookupTranslator,0.83,1,,133,0,16,0,30,0,10,0,2
Apache Commons Text,org.apache.commons.text,ExtendedMessageFormat,0.84,0.98,,746,9,98,4,184,9,69,0,22
Apache Commons Text,org.apache.commons.text.translate,UnicodeUnescaper,0.84,1,,119,2,14,0,18,2,8,0,2
Apache Commons Text,org.apache.commons.text.similarity,LevenshteinDetailedDistance,0.85,0.99,,730,9,107,1,147,9,58,0,9
Apache Commons Text,org.apache.commons.text,StringSubstitutor,0.86,0.97,,1042,5,105,10,261,6,107,1,57
Apache Commons Text,org.apache.commons.text,FormattableUtils,0.86,1,,128,0,18,0,21,0,15,0,6
Apache Commons Text,org.apache.commons.text,StrLookup.MapStrLookup,0.86,0.88,,23,0,4,1,9,1,4,1,2
Apache Commons Text,org.apache.commons.text.similarity,LevenshteinDistance,0.86,0.98,,362,3,53,2,80,4,32,1,7
Apache Commons Text,org.apache.commons.text.lookup,UrlStringLookup,0.86,0.95,,86,1,5,1,18,1,4,0,2
Apache Commons Text,org.apache.commons.text.matcher,AbstractStringMatcher.NoMatcher,0.87,0.93,,5,0,0,0,3,0,2,0,2
Apache Commons Text,org.apache.commons.text.similarity,LevenshteinResults,0.88,1,,121,2,12,0,20,2,13,0,8
Apache Commons Text,org.apache.commons.text,AlphabetConverter,0.9,0.99,,695,3,71,2,147,3,48,0,14
Apache Commons Text,org.apache.commons.text,StrSubstitutor,0.9,1,,1049,0,110,1,272,0,113,0,58
Apache Commons Text,org.apache.commons.text.diff,StringsComparator,0.93,0.99,,541,3,79,1,76,3,43,0,5
Apache Commons Text,org.apache.commons.text.similarity,CosineSimilarity,0.93,1,,133,0,14,0,25,0,11,0,4
Apache Commons Text,org.apache.commons.text,StringEscapeUtils.Builder,0.94,0.99,,32,0,0,0,9,0,4,0,4
Apache Commons Text,org.apache.commons.text.translate,UnicodeEscaper,0.94,1,,121,0,12,0,25,0,14,0,8
Apache Commons Text,org.apache.commons.text.translate,OctalUnescaper,0.94,1,,115,4,20,0,17,4,12,0,4
Apache Commons Text,org.apache.commons.text,StrTokenizer,0.95,1,,971,2,94,1,251,2,111,0,65
Apache Commons Text,org.apache.commons.text,StringTokenizer,0.95,1,,996,2,94,1,249,2,111,0,65
Apache Commons Text,org.apache.commons.text,StrMatcher.CharMatcher,0.96,0.98,,16,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.similarity,JaroWinklerDistance,0.96,1,,266,0,34,0,48,0,20,0,3
Apache Commons Text,org.apache.commons.text.translate,NumericEntityUnescaper,0.98,1,,207,1,49,0,41,1,27,0,3
Apache Commons Text,org.apache.commons.text.diff,EditScript,1,1,,72,0,2,0,20,0,8,0,7
Apache Commons Text,org.apache.commons.text.diff,InsertCommand,1,1,,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.diff,EditCommand,1,1,,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.diff,ReplacementsFinder,1,1,,65,0,4,0,17,0,6,0,4
Apache Commons Text,org.apache.commons.text.diff,KeepCommand,1,1,,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.diff,DeleteCommand,1,1,,9,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text,CompositeFormat,1,1,,34,0,0,0,9,0,6,0,6
Apache Commons Text,org.apache.commons.text,CaseUtils,1,1,,138,0,24,0,38,0,15,0,3
Apache Commons Text,org.apache.commons.text,CharacterPredicates,1,1,,74,0,0,0,8,0,1,0,1
Apache Commons Text,org.apache.commons.text.similarity,Counter,1,0.8,,46,0,4,0,8,0,3,0,1
Apache Commons Text,org.apache.commons.text.similarity,JaccardDistance,1,1,,33,0,4,0,5,0,4,0,2
Apache Commons Text,org.apache.commons.text.similarity,FuzzyScore,1,1,,86,0,16,0,26,0,11,0,3
Apache Commons Text,org.apache.commons.text.similarity,LongestCommonSubsequenceDistance,1,1,,33,0,4,0,5,0,4,0,2
Apache Commons Text,org.apache.commons.text.similarity,LongestCommonSubsequence,1,1,,216,0,24,0,33,0,17,0,5
Apache Commons Text,org.apache.commons.text.similarity,JaccardSimilarity,1,1,,102,0,12,0,18,0,9,0,3
Apache Commons Text,org.apache.commons.text.similarity,HammingDistance,1,0.9,,38,1,9,1,9,1,6,0,2
Apache Commons Text,org.apache.commons.text.similarity,CosineDistance,1,1,,43,0,0,0,9,0,2,0,2
Apache Commons Text,org.apache.commons.text.matcher,StringMatcherFactory,1,1,,132,0,16,0,35,0,22,0,14
Apache Commons Text,org.apache.commons.text.lookup,UrlDecoderStringLookup,1,0.78,,16,0,2,2,5,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,UrlEncoderStringLookup,1,0.78,,16,0,2,2,5,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,Base64DecoderStringLookup,1,1,,17,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,NullStringLookup,1,1,,7,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text.lookup,ScriptStringLookup,1,1,,77,0,6,0,15,0,5,0,2
Apache Commons Text,org.apache.commons.text.lookup,DateStringLookup,1,0.85,,29,0,4,2,9,0,5,0,3
Apache Commons Text,org.apache.commons.text.lookup,EnvironmentVariableStringLookup,1,1,,12,0,2,0,2,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,ResourceBundleStringLookup,1,0.95,,92,1,15,1,20,1,11,0,4
Apache Commons Text,org.apache.commons.text.lookup,FileStringLookup,1,0.87,,54,1,3,2,11,1,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,IllegalArgumentExceptions,1,0.5,,15,0,0,0,2,0,2,0,2
Apache Commons Text,org.apache.commons.text.lookup,Base64EncoderStringLookup,1,1,,15,0,2,0,4,0,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,PropertiesStringLookup,1,0.79,,49,1,3,4,12,1,3,0,2
Apache Commons Text,org.apache.commons.text.lookup,SystemPropertyStringLookup,1,1,,11,0,0,0,4,0,2,0,2
Apache Commons Text,org.apache.commons.text.lookup,XmlStringLookup,1,0.8,,43,1,3,3,10,1,3,0,2
Apache Commons Text,org.apache.commons.text.translate,AggregateTranslator,1,1,,57,0,10,0,13,0,7,0,2
Apache Commons Text,org.apache.commons.text.translate,JavaUnicodeEscaper,1,1,,50,0,0,0,8,0,6,0,6
Apache Commons Text,org.apache.commons.text.translate,EntityArrays,1,1,,1374,0,2,0,280,0,4,0,3
