GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,BP,LINE_MISSED,LINE_COVERED,SC,Statement_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,MC,MCCABE_COMPLEXITY,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.keyvalue,TiedMapEntry,3,106,5,17,0.772727273,1,21,0.954545455,95%,5,13,0.722222222,72%,0,7
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntry,0,70,1,19,0.95,0,13,1,100%,1,13,0.928571429,93%,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,UnmodifiableMapEntry,0,24,0,0,0,0,7,1,100%,0,4,1,100%,0,4
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractKeyValue,0,44,0,0,0,0,17,1,100%,0,6,1,100%,0,6
Apache Commons Collections,org.apache.commons.collections4.keyvalue,MultiKey,0,195,0,12,1,0,37,1,100%,0,20,1,100%,0,14
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultMapEntry,0,19,0,0,0,0,6,1,100%,0,3,1,100%,0,3
Apache Commons Collections,org.apache.commons.collections4.keyvalue,DefaultKeyValue,3,111,5,19,0.791666667,1,24,0.96,96%,5,16,0.761904762,76%,0,9
Apache Commons Collections,org.apache.commons.collections4.keyvalue,AbstractMapEntryDecorator,11,36,2,2,0.5,3,11,0.785714286,79%,3,7,0.7,70%,1,7
Apache Commons Collections,org.apache.commons.collections4.splitmap,TransformedSplitMap,24,94,3,5,0.625,7,23,0.766666667,77%,5,10,0.666666667,67%,2,9
Apache Commons Collections,org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,22,61,2,2,0.5,5,18,0.782608696,78%,5,13,0.722222222,72%,3,13
Apache Commons Collections,org.apache.commons.collections4.collection,AbstractCollectionDecorator,3,84,0,2,1,2,23,0.92,92%,1,18,0.947368421,95%,1,17
Apache Commons Collections,org.apache.commons.collections4.collection,TransformedCollection,0,103,1,7,0.875,0,21,1,100%,1,10,0.909090909,91%,0,7
Apache Commons Collections,org.apache.commons.collections4.collection,IndexedCollection,6,207,1,21,0.954545455,1,55,0.982142857,98%,2,25,0.925925926,93%,1,15
